#PRODUCTID;SKU;TITLE;QUANTITY;PURCHASE_PRICE;VENDOR;SERIAL;PURCHASE_DATE;MERCI_STATUS
1;"4SKULLS00";"Skulls" size;"1";"0.00";"";"";"";"available" 
2;"ACA001528";"Autoclave, Model 3021, Amsco" size;"1";"0.00";"";"";"";"available" 
3;"ACA001529";"Autoclave, Model Medallion, Amsco" size;"1";"0.00";"";"";"";"surplus" 
4;"ACADAPTER";"Ac Wall Adapter" size;"1001";"0.00";"";"";"";"none" 
5;"ACC000001";"Autoclave, Castle" size;"1";"0.00";"";"";"";"surplus" 
6;"ACC019497";"Autoclave, Pelton" size;"1";"0.00";"";"";"";"surplus" 
7;"ACIDCARRI";"Acid Carrier" size;"1000";"0.00";"";"";"";"none" 
8;"ACIDCARRY";"Acid Carrier" size;"1000";"0.00";"";"";"";"none" 
9;"ADS016120";"Survey, Alidade" size;"1";"0.00";"";"";"";"none" 
10;"ADT000001";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
11;"ADT000002";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
12;"ADT000003";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
13;"ADT000004";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
14;"ADT000005";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
15;"ADT000006";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
16;"ADT000007";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
17;"ADT000008";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
18;"ADT000009";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
19;"ADT000010";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
20;"ADT000011";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
21;"ADT000012";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
22;"ADT000013";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"surplus" 
23;"ADT000014";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
24;"ADT000015";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
25;"ADT000016";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
26;"ADT000017";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
27;"ADT000018";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
28;"ADT000019";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
29;"ADT000020";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
30;"ADT000021";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
31;"ADT000022";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
32;"ADT000023";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
33;"ADT000024";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
34;"ADT000025";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
35;"ADT000026";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
36;"ADT000027";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
37;"ADT000028";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
38;"ADT000029";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
39;"ADT000030";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
40;"ADT000031";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"lost" 
41;"ADT000032";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
42;"ADT000033";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"available" 
43;"ADT000034";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
44;"ADT000035";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
45;"ADT000036";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
46;"ADT000037";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
47;"ADT000038";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
48;"ADT000039";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
49;"ADT000040";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
50;"ADT000041";"Digital Analog Trainer" size;"1";"0.00";"";"";"";"none" 
51;"ADT016122";"Adt" size;"1";"0.00";"";"";"";"none" 
52;"AFR201101";"Aquarium Filter" size;"1";"0.00";"";"";"";"none" 
53;"AFR201102";"Aquarium Filter" size;"1";"0.00";"";"";"";"lost" 
54;"AFR201103";"Aquarium Filter" size;"1";"0.00";"";"";"";"lost" 
55;"AFR201104";"Aquarium Filter" size;"1";"0.00";"";"";"";"none" 
56;"AIRB00859";"Air Track, Linear" size;"1";"0.00";"";"";"";"available" 
57;"AIRS01212";"Air Track Blower" size;"1";"0.00";"";"";"";"lost" 
58;"AIRT00861";"Air Table" size;"1";"0.00";"";"";"";"available" 
59;"AIRT01234";"Air Table" size;"1";"0.00";"";"";"";"available" 
60;"ALNWRENCH";"Alnwrench" size;"1000";"0.00";"";"";"";"available" 
61;"ALS000001";"Altimeter" size;"1";"0.00";"";"";"";"lost" 
62;"ALS000002";"Altimeter" size;"1";"0.00";"";"";"";"lost" 
63;"ALS000003";"Altimeter" size;"1";"0.00";"";"";"";"lost" 
64;"ALS000004";"Altimeter" size;"1";"0.00";"";"";"";"lost" 
65;"ALS016716";"Altimeter" size;"1";"0.00";"";"";"";"lost" 
66;"ALS022336";"Altimeter" size;"1";"0.00";"";"";"";"surplus" 
67;"ALT000001";"Altimeter, Thommen" size;"1";"0.00";"";"";"";"surplus" 
68;"ALTSPK001";"Computer Speaker" size;"1";"0.00";"";"";"";"available" 
69;"AMD000001";"Anemometer, Dwyer" size;"1";"0.00";"";"";"";"surplus" 
70;"AMD000002";"Anemometer, Dwyer" size;"1";"0.00";"";"";"";"lost" 
71;"AMD000003";"Anemometer, Dwyer" size;"1";"0.00";"";"";"";"lost" 
72;"AMD000004";"Anemometer, Dwyer" size;"1";"0.00";"";"";"";"lost" 
73;"AMP018965";"Polarograph" size;"1";"0.00";"";"";"";"surplus" 
74;"AMPROBE01";"Probe, Amperage" size;"1";"0.00";"";"";"";"none" 
75;"AMS007841";"Ams" size;"1";"0.00";"";"";"";"surplus" 
76;"AMS666666";"Ams" size;"1";"0.00";"";"";"";"lost" 
77;"ANIMALTRP";"Animaltrp" size;"1";"0.00";"";"";"";"available" 
78;"ANISTRL01";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
79;"ANISTRL02";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
80;"ANISTRL03";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
81;"ANISTRL04";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
82;"ANISTRL05";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
